id,tier,persona,scenario,urgency_intent,thread,register,context,adversarial
S075,dev,SYS-BULK,EVENT-INVITE,U-MED,T1,R-FORMAL,C-MISSING,
S076,held-out,STU-UG,GRADE-QUERY,U-LOW,T1,R-SEMI,C-FULL,
S077,held-out,COL-SENIOR,WELFARE,U-MED,T3,R-SEMI,C-FULL,A-MID-THREAD-ASK
S078,held-out,SYS-AUTO,ROOM-CHANGE,U-LOW,T3,R-FORMAL,C-MISSING,A-INFO-GAP
S079,held-out,COL-PEER,ROOM-CHANGE,U-HIGH,T1,R-SEMI,C-MISSING,A-INFO-GAP
S080,held-out,EXT-PUB,PAPER-REVISE,U-LOW,T1,R-ESL,C-FULL,
S081,held-out,STU-UG,MEET-SCHED,U-LOW,T2,R-SEMI,C-MISSING,
S082,held-out,COL-PEER,MEET-SCHED,U-LOW,T3,R-TERSE,C-BURIED,
S083,held-out,SYS-AUTO,IT-OUTAGE,U-HIGH,T2,R-SEMI,C-FULL,
S084,dev,EXT-IND,BUDGET-APPROVE,U-HIGH,T2,R-SEMI,C-FULL,
S085,held-out,COL-SENIOR,FOLLOWUP,U-MED,T3,R-FORMAL,C-MISSING,
S086,held-out,EXT-COLD,EVENT-INVITE,U-MED,T1,R-CASUAL,C-BURIED,
S087,dev,COL-PEER,MEET-SCHED,U-MED,T2,R-CASUAL,C-FULL,
S088,held-out,STU-HDR,ETHICS-ACTION,U-HIGH,T3,R-ESL,C-FULL,
S089,held-out,EXT-RES,PAPER-REVISE,U-LOW,T3,R-FORMAL,C-FULL,
S090,dev,EXT-PUB,FOLLOWUP,U-MED,T2,R-FORMAL,C-MISSING,
S091,held-out,EXT-IND,EVENT-INVITE,U-LOW,T4,R-FORMAL,C-BURIED,
S092,held-out,EXT-IND,MEET-SCHED,U-HIGH,T3,R-TERSE,C-MISSING,A-REPLY-ALL
S093,held-out,EXT-RES,MEET-SCHED,U-MED,T2,R-FORMAL,C-FULL,
S094,held-out,EXT-COLD,POLICY-FYI,U-LOW,T1,R-FORMAL,C-FULL,
S095,held-out,EXT-PUB,PAPER-REVISE,U-HIGH,T2,R-FORMAL,C-FULL,
S096,held-out,EXT-IND,EVENT-INVITE,U-MED,T4,R-ESL,C-BURIED,A-CONFLICT-DATE
S097,dev,STU-HDR,PAPER-REVISE,U-HIGH,T3,R-SEMI,C-FULL,
S098,held-out,STU-HDR,PAPER-REVISE,U-MED,T2,R-ESL,C-FULL,
S099,held-out,COL-SENIOR,BUDGET-APPROVE,U-MED,T2,R-SEMI,C-FULL,
S100,held-out,EXT-PUB,PAPER-REVISE,U-LOW,T1,R-CASUAL,C-BURIED,A-LOUD-TRIVIAL
S101,held-out,EXT-COLD,EVENT-INVITE,U-MED,T1,R-ESL,C-MISSING,
S102,held-out,STU-HDR,ETHICS-ACTION,U-HIGH,T3,R-ESL,C-FULL,
S103,dev,EXT-COLD,EVENT-INVITE,U-LOW,T3,R-SEMI,C-FULL,
S104,held-out,PS-ADMIN,ROOM-CHANGE,U-LOW,T2,R-FORMAL,C-FULL,A-LOUD-TRIVIAL
S105,held-out,SYS-BULK,EVENT-INVITE,U-MED,T2,R-FORMAL,C-FULL,
S106,held-out,GOV-CHAIR,BUDGET-APPROVE,U-LOW,T2,R-SEMI,C-FULL,
S107,held-out,SYS-AUTO,ROOM-CHANGE,U-LOW,T2,R-FORMAL,C-FULL,
S108,dev,EXT-COLD,EVENT-INVITE,U-LOW,T1,R-FORMAL,C-BURIED,
S109,held-out,EXT-RES,MEET-SCHED,U-HIGH,T4,R-SEMI,C-FULL,
S110,held-out,STU-UG,DEADLINE-EXT,U-LOW,T1,R-SEMI,C-FULL,
S111,held-out,COL-SENIOR,BUDGET-APPROVE,U-HIGH,T2,R-CASUAL,C-FULL,
S112,held-out,GOV-CHAIR,MEET-SCHED,U-LOW,T1,R-FORMAL,C-MISSING,A-INFO-GAP
S113,held-out,SYS-BULK,EVENT-INVITE,U-LOW,T2,R-SEMI,C-FULL,
S114,held-out,PS-ADMIN,POLICY-FYI,U-LOW,T2,R-FORMAL,C-FULL,
S115,held-out,COL-SENIOR,WELFARE,U-HIGH,T2,R-CASUAL,C-MISSING,
S116,held-out,PS-ADMIN,DEADLINE-EXT,U-MED,T1,R-TERSE,C-BURIED,
S117,held-out,STU-HDR,PAPER-REVISE,U-MED,T3,R-SEMI,C-FULL,
S118,held-out,COL-PEER,FOLLOWUP,U-LOW,T4,R-FORMAL,C-FULL,A-MID-THREAD-ASK
S119,held-out,COL-PEER,FOLLOWUP,U-LOW,T3,R-FORMAL,C-MISSING,A-MID-THREAD-ASK
S120,dev,EXT-COLD,EVENT-INVITE,U-LOW,T3,R-FORMAL,C-FULL,
S121,held-out,STU-HDR,PAPER-REVISE,U-LOW,T3,R-SEMI,C-FULL,
S122,dev,EXT-PUB,REVIEW-INVITE,U-MED,T1,R-SEMI,C-BURIED,
S123,held-out,SYS-AUTO,ROOM-CHANGE,U-MED,T3,R-FORMAL,C-FULL,
S124,held-out,EXT-RES,PAPER-REVISE,U-HIGH,T1,R-SEMI,C-MISSING,
S125,held-out,SYS-BULK,EVENT-INVITE,U-MED,T1,R-SEMI,C-FULL,
S126,held-out,GOV-CHAIR,BUDGET-APPROVE,U-HIGH,T4,R-SEMI,C-FULL,
S127,held-out,STU-HDR,PAPER-REVISE,U-LOW,T2,R-CASUAL,C-FULL,
S128,held-out,EXT-COLD,POLICY-FYI,U-LOW,T1,R-TERSE,C-BURIED,
S129,held-out,SYS-AUTO,ETHICS-ACTION,U-MED,T2,R-FORMAL,C-BURIED,
S130,held-out,PS-ADMIN,BUDGET-APPROVE,U-HIGH,T3,R-ESL,C-FULL,
S131,held-out,EXT-COLD,EVENT-INVITE,U-LOW,T2,R-SEMI,C-MISSING,A-REPLY-ALL
S132,held-out,EXT-RES,FOLLOWUP,U-LOW,T1,R-FORMAL,C-FULL,
S133,held-out,EXT-IND,MEET-SCHED,U-MED,T3,R-CASUAL,C-MISSING,A-REPLY-ALL
S134,held-out,EXT-PUB,REVIEW-INVITE,U-LOW,T3,R-SEMI,C-FULL,
S135,held-out,STU-HDR,MEET-SCHED,U-LOW,T4,R-ESL,C-BURIED,A-LOUD-TRIVIAL
S136,held-out,SYS-BULK,EVENT-INVITE,U-MED,T1,R-FORMAL,C-FULL,A-AMBIGUOUS
S137,dev,EXT-IND,BUDGET-APPROVE,U-LOW,T2,R-FORMAL,C-FULL,
S138,held-out,EXT-RES,PAPER-REVISE,U-MED,T2,R-SEMI,C-FULL,
S139,held-out,STU-HDR,REF-REQUEST,U-LOW,T1,R-TERSE,C-FULL,
S140,held-out,COL-SENIOR,BUDGET-APPROVE,U-HIGH,T1,R-ESL,C-FULL,A-ESL-URGENT
S141,held-out,PS-ADMIN,DEADLINE-EXT,U-LOW,T2,R-SEMI,C-BURIED,
S142,dev,SYS-AUTO,ROOM-CHANGE,U-HIGH,T2,R-FORMAL,C-FULL,
S143,held-out,STU-HDR,FOLLOWUP,U-HIGH,T3,R-SEMI,C-FULL,
S144,dev,EXT-IND,BUDGET-APPROVE,U-HIGH,T1,R-SEMI,C-MISSING,
S145,held-out,GOV-CHAIR,MEET-SCHED,U-LOW,T1,R-FORMAL,C-BURIED,A-SOCIAL
S146,held-out,STU-UG,MEET-SCHED,U-HIGH,T1,R-SEMI,C-BURIED,
S147,held-out,COL-SENIOR,MEET-SCHED,U-LOW,T1,R-ESL,C-MISSING,
S148,dev,SYS-BULK,EVENT-INVITE,U-LOW,T2,R-FORMAL,C-FULL,
S149,dev,SYS-AUTO,ROOM-CHANGE,U-LOW,T1,R-SEMI,C-MISSING,
S150,held-out,EXT-IND,BUDGET-APPROVE,U-MED,T2,R-ESL,C-FULL,
S151,held-out,COL-PEER,MEET-SCHED,U-MED,T1,R-SEMI,C-BURIED,
S152,dev,COL-PEER,FOLLOWUP,U-LOW,T3,R-FORMAL,C-MISSING,
S153,held-out,STU-UG,GRADE-QUERY,U-HIGH,T1,R-SEMI,C-MISSING,A-INFO-GAP
S154,held-out,EXT-IND,EVENT-INVITE,U-MED,T2,R-FORMAL,C-MISSING,A-INFO-GAP
S155,held-out,EXT-IND,BUDGET-APPROVE,U-HIGH,T4,R-TERSE,C-BURIED,A-CONFLICT-DATE
S156,held-out,PS-ADMIN,BUDGET-APPROVE,U-MED,T4,R-SEMI,C-MISSING,
S157,held-out,EXT-PUB,FOLLOWUP,U-MED,T1,R-SEMI,C-MISSING,A-INFO-GAP
S158,held-out,EXT-IND,BUDGET-APPROVE,U-LOW,T3,R-SEMI,C-FULL,A-MID-THREAD-ASK
S159,held-out,STU-HDR,WELFARE,U-HIGH,T2,R-FORMAL,C-FULL,
S160,held-out,COL-SENIOR,BUDGET-APPROVE,U-HIGH,T1,R-CASUAL,C-BURIED,
S161,held-out,COL-SENIOR,FOLLOWUP,U-MED,T2,R-SEMI,C-FULL,A-REPLY-ALL
S162,dev,STU-HDR,REF-REQUEST,U-LOW,T1,R-FORMAL,C-FULL,
S163,held-out,EXT-RES,MEET-SCHED,U-LOW,T4,R-FORMAL,C-BURIED,A-SOCIAL
S164,held-out,COL-SENIOR,MEET-SCHED,U-HIGH,T1,R-TERSE,C-FULL,
S165,held-out,SYS-AUTO,IT-OUTAGE,U-HIGH,T2,R-FORMAL,C-FULL,
S166,held-out,SYS-BULK,EVENT-INVITE,U-MED,T2,R-SEMI,C-FULL,
S167,dev,STU-HDR,PAPER-REVISE,U-HIGH,T1,R-SEMI,C-FULL,
S168,held-out,STU-HDR,ETHICS-ACTION,U-MED,T2,R-FORMAL,C-FULL,
S169,held-out,STU-UG,REF-REQUEST,U-HIGH,T3,R-ESL,C-FULL,A-MID-THREAD-ASK
S170,held-out,SYS-AUTO,POLICY-FYI,U-LOW,T3,R-SEMI,C-MISSING,A-INFO-GAP
S171,held-out,EXT-RES,MEET-SCHED,U-HIGH,T3,R-FORMAL,C-MISSING,A-MID-THREAD-ASK
S172,held-out,EXT-RES,PAPER-REVISE,U-MED,T2,R-SEMI,C-MISSING,
S173,dev,STU-UG,FOLLOWUP,U-MED,T3,R-TERSE,C-BURIED,
S174,held-out,STU-HDR,ETHICS-ACTION,U-HIGH,T3,R-FORMAL,C-BURIED,A-CONFLICT-DATE
S175,held-out,STU-HDR,PAPER-REVISE,U-HIGH,T1,R-ESL,C-FULL,A-ESL-URGENT
S176,held-out,COL-PEER,PAPER-REVISE,U-HIGH,T1,R-FORMAL,C-BURIED,
S177,held-out,COL-PEER,FOLLOWUP,U-HIGH,T1,R-FORMAL,C-FULL,
S178,held-out,STU-HDR,MEET-SCHED,U-LOW,T2,R-SEMI,C-FULL,A-SOCIAL
S179,held-out,SYS-AUTO,IT-OUTAGE,U-HIGH,T1,R-FORMAL,C-MISSING,
S180,held-out,GOV-CHAIR,BUDGET-APPROVE,U-MED,T1,R-ESL,C-MISSING,
